detectorid,starttime,volume,speed,occupancy,status,dqflags
1345,2011-09-15 00:00:00-07,0,,0,0,0
1345,2011-09-15 00:00:20-07,,,,0,0
1345,2011-09-15 00:00:40-07,0,,0,0,0
1345,2011-09-15 00:01:00-07,0,,0,0,0
1345,2011-09-15 00:01:20-07,0,,0,0,0
1345,2011-09-15 00:01:40-07,1,47,0,3,0
1345,2011-09-15 00:02:00-07,0,,0,0,0
1345,2011-09-15 00:02:20-07,0,,0,0,0
1345,2011-09-15 00:02:40-07,1,66,1,2,0
1345,2011-09-15 00:03:00-07,0,,0,0,0
1345,2011-09-15 00:03:20-07,0,,0,0,0
1345,2011-09-15 00:03:40-07,0,,0,0,0
1345,2011-09-15 00:04:00-07,0,,0,0,0
1345,2011-09-15 00:04:20-07,0,,0,0,0
1345,2011-09-15 00:04:40-07,1,66,0,3,0
1345,2011-09-15 00:05:00-07,0,,0,0,0
1345,2011-09-15 00:05:20-07,1,67,1,2,0
1345,2011-09-15 00:05:40-07,0,,0,0,0
1345,2011-09-15 00:06:00-07,0,,0,0,0
1345,2011-09-15 00:06:20-07,0,,0,0,0
1345,2011-09-15 00:06:40-07,0,,0,0,0
1345,2011-09-15 00:07:00-07,0,,0,0,0
1345,2011-09-15 00:07:20-07,0,,0,0,0
1345,2011-09-15 00:07:40-07,0,,0,0,0
1345,2011-09-15 00:08:00-07,0,,0,0,0
1345,2011-09-15 00:08:20-07,0,,0,0,0
1345,2011-09-15 00:08:40-07,0,,0,0,0
1345,2011-09-15 00:09:00-07,0,,0,0,0
1345,2011-09-15 00:09:20-07,0,,0,0,0
1345,2011-09-15 00:09:40-07,0,,0,0,0
1345,2011-09-15 00:10:00-07,0,,0,0,0
1345,2011-09-15 00:10:20-07,0,,0,0,0
1345,2011-09-15 00:10:40-07,0,,0,0,0
1345,2011-09-15 00:11:00-07,0,,0,0,0
1345,2011-09-15 00:11:20-07,1,67,1,2,0
1345,2011-09-15 00:11:40-07,2,55,2,2,0
1345,2011-09-15 00:12:00-07,2,56,1,2,0
1345,2011-09-15 00:12:20-07,0,,0,0,0
1345,2011-09-15 00:12:40-07,3,64,3,2,0
1345,2011-09-15 00:13:00-07,1,49,0,3,0
1345,2011-09-15 00:13:20-07,0,,0,0,0
1345,2011-09-15 00:13:40-07,0,,0,0,0
1345,2011-09-15 00:14:00-07,0,,0,0,0
1345,2011-09-15 00:14:20-07,0,,0,0,0
1345,2011-09-15 00:14:40-07,1,49,0,3,0
1345,2011-09-15 00:15:00-07,2,39,1,2,0
1345,2011-09-15 00:15:20-07,0,,0,0,0
1345,2011-09-15 00:15:40-07,0,,0,0,0
1345,2011-09-15 00:16:00-07,0,,0,0,0
1345,2011-09-15 00:16:20-07,0,,0,0,0
1345,2011-09-15 00:16:40-07,0,,0,0,0
1345,2011-09-15 00:17:00-07,3,64,2,2,0
1345,2011-09-15 00:17:20-07,0,,0,0,0
